season,playoff,play_id,game_id,home_team,away_team,posteam,posteam_type,defteam,side_of_field,game_date,quarter_seconds_remaining,game_seconds_remaining,game_half,sp,qtr,down,time,yrdln,ydstogo,desc,play_type,field_goal_result,kick_distance,home_timeouts_remaining,away_timeouts_remaining,timeout,timeout_team,posteam_timeouts_remaining,defteam_timeouts_remaining,posteam_score,defteam_score,score_differential,opp_fg_prob,field_goal_attempt,kicker_player_name,kicker_player_id,type,iced,overtime
2009,reg,4075,2009112212,OAK,CIN,OAK,home,CIN,CIN,2009-11-22,16.0,16.0,Half2,1,4,4.0,00:16,CIN 15,8,"(:16) S.Janikowski 33 yard field goal is GOOD, Center-J.Condo, Holder-S.Lechler.",field_goal,made,33.0,1,0,0.0,,1.0,0.0,17.0,17.0,0.0,0.007062562652795813,1.0,S.Janikowski,00-0019646,iced,iced,0
2009,reg,3712,2009112300,HOU,TEN,TEN,away,HOU,HOU,2009-11-23,52.0,52.0,Half2,1,4,4.0,00:52,HOU 35,5,"(:52) R.Bironas 53 yard field goal is GOOD, Center-K.Amato, Holder-B.Kern.",field_goal,made,53.0,2,3,0.0,,3.0,2.0,17.0,17.0,0.0,0.07300077871490812,1.0,R.Bironas,00-0020962,iced,iced,0
2009,reg,3902,2009112300,HOU,TEN,HOU,home,TEN,TEN,2009-11-23,6.0,6.0,Half2,0,4,4.0,00:06,TEN 31,4,"(:06) K.Brown 49 yard field goal is No Good, Wide Left, Center-J.Dreessen, Holder-M.Turk.",field_goal,missed,49.0,0,3,0.0,,0.0,3.0,17.0,20.0,-3.0,0.0456999169487471,1.0,K.Brown,00-0001980,off_timeout,non_iced,0
2009,reg,3812,2009112911,BAL,PIT,BAL,home,PIT,PIT,2009-11-29,4.0,4.0,Half2,0,4,4.0,00:04,PIT 37,12,"(:04) (Field Goal formation) B.Cundiff 56 yard field goal is No Good, Short, Center-M.Katula, Holder-S.Koch.",field_goal,missed,56.0,0,2,0.0,,0.0,2.0,17.0,17.0,0.0,0.0,1.0,B.Cundiff,00-0020972,no_timeout,non_iced,0
2009,reg,4275,2009112911,BAL,PIT,BAL,home,PIT,PIT,2009-11-29,445.0,445.0,Overtime,1,5,3.0,07:25,PIT 11,6,"(7:25) (Field Goal formation) B.Cundiff 29 yard field goal is GOOD, Center-M.Katula, Holder-S.Koch.",field_goal,made,29.0,2,2,0.0,,2.0,2.0,17.0,17.0,0.0,0.0070749577240133,1.0,B.Cundiff,00-0020972,no_timeout,non_iced,1
2009,reg,4434,2009120608,WAS,NO,NO,away,WAS,WAS,2009-12-06,2.0,2.0,Half2,0,4,2.0,00:02,WAS 40,10,"(:02) G.Hartley 58 yard field goal is No Good, Center-J.Kyle, Holder-M.Brunell. F.Smoot at WAS -9 to WAS 14 for 23 yards (J.Bushrod).",field_goal,missed,58.0,1,0,0.0,,0.0,1.0,29.0,30.0,-1.0,0.0,1.0,G.Hartley,00-0025824,no_timeout,non_iced,0
2009,reg,4904,2009120608,WAS,NO,NO,away,WAS,WAS,2009-12-06,520.0,520.0,Overtime,1,5,2.0,08:40,WAS 1,1,"(8:40) G.Hartley 18 yard field goal is GOOD, Center-J.Kyle, Holder-M.Brunell.",field_goal,made,18.0,0,2,0.0,,2.0,0.0,29.0,30.0,-1.0,0.0009374932796379758,1.0,G.Hartley,00-0025824,iced,iced,1
2009,reg,4343,2009122008,TEN,MIA,TEN,home,MIA,MIA,2009-12-20,684.0,684.0,Overtime,1,5,4.0,11:24,MIA 28,11,"(11:24) (Field Goal formation) R.Bironas 46 yard field goal is GOOD, Center-K.Amato, Holder-B.Kern.",field_goal,made,46.0,2,1,0.0,,2.0,1.0,24.0,24.0,0.0,0.0625247862300883,1.0,R.Bironas,00-0020962,iced,iced,1
2009,reg,3782,2009122010,SD,CIN,CIN,away,SD,SD,2009-12-20,57.0,57.0,Half2,1,4,4.0,00:57,SD 16,7,"(:57) S.Graham 34 yard field goal is GOOD, Center-C.Harris, Holder-K.Huber.",field_goal,made,34.0,0,2,0.0,,2.0,0.0,21.0,24.0,-3.0,0.009459280653845192,1.0,S.Graham,00-0019536,iced,iced,0
2009,reg,3955,2009122010,SD,CIN,SD,home,CIN,CIN,2009-12-20,8.0,8.0,Half2,1,4,1.0,00:08,CIN 34,10,"(:08) N.Kaeding 52 yard field goal is GOOD, Center-D.Binn, Holder-M.Scifres.",field_goal,made,52.0,0,1,0.0,,0.0,1.0,24.0,24.0,0.0,0.059929013760611126,1.0,N.Kaeding,00-0022737,no_timeout,non_iced,0
2009,reg,4200,2009122707,NO,TB,TB,away,NO,NO,2009-12-27,493.0,493.0,Overtime,1,5,4.0,08:13,NO 29,4,"(8:13) C.Barth 47 yard field goal is GOOD, Center-A.Economos, Holder-S.Paulescu.",field_goal,made,47.0,2,1,0.0,,1.0,2.0,16.0,17.0,-1.0,0.06126464428750075,1.0,C.Barth,00-0026138,no_timeout,non_iced,1
2009,reg,4648,2009122708,PHI,DEN,PHI,home,DEN,DEN,2009-12-27,7.0,7.0,Half2,1,4,4.0,00:07,DEN 10,7,"(:07) D.Akers 28 yard field goal is GOOD, Center-J.Dorenbos, Holder-S.Rocca.",field_goal,made,28.0,1,0,0.0,,1.0,0.0,27.0,27.0,0.0,0.0034908318657653195,1.0,D.Akers,00-0000108,off_timeout,non_iced,0
2009,reg,4405,2009122800,CHI,MIN,CHI,home,MIN,MIN,2009-12-28,733.0,733.0,Overtime,0,5,4.0,12:13,MIN 27,2,"(12:13) R.Gould 45 yard field goal is No Good, Wide Right, Center-P.Mannelly, Holder-B.Maynard.",field_goal,missed,45.0,2,2,0.0,,2.0,2.0,30.0,30.0,0.0,0.05915852570394273,1.0,R.Gould,00-0023252,no_timeout,non_iced,1
